NOMBRE_FAMILIA,NOMBRE_LUGAR_CAS,NOMBRE_LUGAR_EUS,COD_CALLE,NOMBRE_CALLE,COD_TIPO_VIA,NOMBRE_TIPO_VIA,NUMERO,BIS,COORDENADA_UTM_X,COORDENADA_UTM_Y
Música y ópera,BOST AXOLA BEMOLA,BOST AXOLA BEMOLA,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,EL GUARDIAN DE LOS CUENTOS,EL GUARDIAN DE LOS CUENTOS,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,AINHOA ARTETA,AINHOA ARTETA,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,GUILLERMO GARMENDIA,GUILLERMO GARMENDIA,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,BENITO LERTXUNDI,BENITO LERTXUNDI,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,EUSKAL KANTU LIRIOO BERRIAK,EUSKAL KANTU LIRIOO BERRIAK,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,GUILLERMO TELL,GUILLERMO TELL,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,TEMPORADA ARRIAGA 2014-2015,ARRIAGA ANTZOKIA DENBORALDIA 2014-2015,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,"ÓPERA ""L´EQUIVOCO STRAVAGANTE""","ÓPERA ""L´EQUIVOCO STRAVAGANTE""",820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,ÓPERA TXIKI ALLEGRO VIVACE,ÓPERA TXIKI ALLEGRO VIVACE,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,EL SASTRECILLO VALIENTE,EL SASTRECILLO VALIENTE,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,EL SUPERBARBERO DE SEVILLA,EL SUPERBARBERO DE SEVILLA,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,ANTONIO OROZCO,ANTONIO OROZCO,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,SOÑANDO EL CARNAVAL,ANIMALIEN INAUTERIAZ AMESTEN,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,LA CENICIENTA,ERRAUSKINE,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,TXANOZURITXU,TXANOZURITXU,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,EL FLAUTISTA DE HAMELÍN,HAMELINGO TXIRULARIA,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Música y ópera,SISTER ACT  EL MUSICAL.,SISTER ACT  EL MUSICAL.,820,ARRIAGA,PL,PLAZA,1,,506210.48,4789844.78
Edificios emblemáticos,CASA MAZARREDO,MAZARREDO ETXEA,1490,BIDEBARRIETA,CL,CALLE,14,,506241.46,4789669.78
Arte al aire libre,LUGAR DE ENCUENTRO IV,ELKARGUNE IV,2020,MUSEO,PL,PLAZA,2,,505149.01,4790560.78
Arte al aire libre,FANAL  Jardín de delicias,FANAL (GARDEN OF DELIGHTS),2020,MUSEO,PL,PLAZA,2,,505149.01,4790560.78
Arte al aire libre,MONUMENTO A ARRIAGA,ARRIAGAKO MUSA,2020,MUSEO,PL,PLAZA,2,,505149.01,4790560.78
Museos,MUSEO DE BELLAS ARTES,BILBOKO ARTE EDER MUSEOA,2020,MUSEO,PL,PLAZA,2,,505149.01,4790560.78
Edificios emblemáticos,BANCO SANTANDER,BANCO SANTANDER ERAIKINA,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,4,,505973.87,4790074.46
Arte al aire libre,MIGUEL UNAMUNO,MIGUEL UNAMUNO,1610,UNAMUNO MIGUEL,PL,PLAZA,1,,506478.79,4789743.55
Nueva arquitectura,SEDE DE EDP,EDP EGOITZA,3750,CONCHA GENERAL,CL,CALLE,20,,505358.85,4789757.28
Edificios emblemáticos,CASA MISERICORDIA,ERRUKI ETXEA,4940,ARANA SABINO,AV,AVENIDA,2,,504400.17,4790452.35
OTROS EDIFICIOS,HOSPITAL DE BASURTO,BASURTUKO OSPITALEA,6550,MONTEVIDEO,AV,AVENIDA,18,,503856.29,4789990.70
Nueva arquitectura,BIBLIOTECA DEUSTO,DEUSTUKO UNIBERTSITATEKO LIBURUTEGIA,8075,RUBIAL RAMON,CL,CALLE,1,,505210.74,4790834.08
Edificios emblemáticos,EDIFICIO ENSANCHE,ENSANCHE ERAIKINA,2330,ENSANCHE,PL,PLAZA,11,,505709.73,4790326.55
MONUMENTOS RELIGIOSOS,CATEDRAL SANTIAGO,SANTIAGO KATEDRALA,8820,SANTIAGO,PZ,PLAZUELA,1,,506277.93,4789613.79
Edificios emblemáticos,PALACIO OLABARRI,OLABARRI JAUREGIA,1870,CAMPO VOLANTIN,PS,PASEO,37,,505806.11,4790900.32
Nueva arquitectura,FRONTÓN BIZKAIA,BIZKAIA FRONTOIA,2095,CASTRESANA LUIS DE,CL,CALLE,2,,506036.22,4788590.66
Nueva arquitectura,BIBLIOTECA FORAL,FORU LIBURUTEGIA,970,ASTARLOA,CL,CALLE,10,,505620.41,4790063.44
Monumentos religiosos,BASÍLICA DE BEGOÑA,BEGOÑAKO BASILIKA,9455,VIRGEN DE BEGOÑA,CL,CALLE,38,,507093.71,4789742.35
Nueva arquitectura,BILBAO ARENA,BILBAO ARENA,965,ASKATASUNA,AV,AVENIDA,14,,506095.93,4788944.83
Música y ópera,MANOLO GARCÍA,MANOLO GARCÍA,965,ASKATASUNA,AV,AVENIDA,14,,506095.93,4788944.83
Música y ópera,MALÚ,MALÚ,965,ASKATASUNA,AV,AVENIDA,14,,506095.93,4788944.83
Música y ópera,SCORPIONS,SCORPIONS,965,ASKATASUNA,AV,AVENIDA,14,,506095.93,4788944.83
Música y ópera,ROBERT PLANT,ROBERT PLANT,965,ASKATASUNA,AV,AVENIDA,14,,506095.93,4788944.83
Nueva Arquitectura,TORRE IBERDROLA,IBERDROLA DORREA,3397,EUSKADI,PL,PLAZA,5,,505110.06,4790738.62
Otros museos,MUSEO ARQUEOLÓGICO,ARKEOLOGI MUSEOA,1780,MALLONA DE,QS,CALZADAS,2,,506469.99,4789757.93
Arte al aire libre,JOHN ADAMS,JOHN ADAMS,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,28,,505630.18,4790177.31
Arte al aire libre,MURAL,HORMA-IRUDIA,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,7,,505891.23,4790060.52
Música y ópera,MUSIKETAN,MUSIKETAN,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,19,,505707.12,4790117.08
Música y ópera,IVÁN `MELÓN´LEWIS,IVÁN `MELÓN´LEWIS,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,19,,505707.12,4790117.08
Música y ópera,COCIERTO DE JAZZ,JAZZ KONTZERTUA,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,19,,505707.12,4790117.08
Música y ópera,SECOND,SECOND,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,19,,505707.12,4790117.08
Música y ópera,MÚSICA Y POESÍA,MUSIKA ETA POESIA,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,19,,505707.12,4790117.08
Música y ópera,MUSIC LEGENDS,MUSIC LEGENDS,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,19,,505707.12,4790117.08
Música y ópera,MARWAN,MARWAN,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,19,,505707.12,4790117.08
Música y ópera,MIKEL URDANGARIN,MIKEL URDANGARIN,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,19,,505707.12,4790117.08
Música y ópera,NOITES DE FADO,NOITES DE FADO,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,19,,505707.12,4790117.08
Edificios emblemáticos,CASA RAMÓN DE LA SOTA,RAMON DE LA SOTA ETXEA,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,45,,505208.18,4790266.21
Edificios emblemáticos,LA EQUITATIVA,LA EQUITATIVA,6090,MAZARREDO,AL,ALAMEDA,7,,505850.08,4790238.03
Arte al aire libre,LA GRÚA CAROLA,LA CAROLA GARABIA,9068,SOTA RAMON DE LA,ML,MUELLE,1,,504476.20,4790591.30
Otros museos,MUSEO MARÍTIMO RÍA DE BILBAO,BILBOKO ITSASADARRA ITSAS MUSEOA,9068,SOTA RAMON DE LA,ML,MUELLE,1,,504476.20,4790591.30
Nueva arquitectura,MUSEO MARÍTIMO RÍA DE BILBAO,BILBOKO ITSASADARRA ITSAS MUSEOA,9068,SOTA RAMON DE LA,ML,MUELLE,1,,504476.20,4790591.30
Otros museos,MUSEO ATHLETIC CLUB,MUSEO ATHLETIC CLUB,9111,"MORENO ""PITXITXI"" RAFAEL",PS,PASEO,1,,504191.79,4790273.99
Arte al aire libre,DON DIEGO LÓPEZ DE HARO,ON DIEGO LOPEZ HAROKOA,3290,CIRCULAR,PL,PLAZA,1,,506030.04,4790008.74
Edificios emblemáticos,ESTACIÓN ATXURI,ATXURIKO GELTOKIA,70,ATXURI,CL,CALLE,4,,506484.74,4789247.94
